100.2.123.234:443,qakbot
104.152.188.104:1986,asyncrat
104.152.188.104:6606,asyncrat
104.152.188.104:7707,asyncrat
104.152.188.104:8808,asyncrat
136.243.191.199:18,asyncrat
136.243.191.199:59,asyncrat
136.243.191.199:5900,asyncrat
137.74.164.58:4125,dridex
162.214.106.107:13783,dridex
179.13.6.240:8057,asyncrat
185.163.45.104:456,asyncrat
185.56.219.68:13783,dridex
193.32.209.132:25612,redline
194.187.251.91:55587,nanocore
194.5.97.50:8894,nanocore
217.64.149.117:2404,remcos
45.138.157.144:25565,asyncrat
46.183.220.49:46422,asyncrat
46.183.220.49:6578,asyncrat
88.198.65.124:2303,dridex
91.219.62.42:31814,redline
96.30.31.236:2303,dridex
alemdar571.duckdns.org:18,asyncrat
alemdar571.duckdns.org:4784,asyncrat
alemdar571.duckdns.org:59,asyncrat
alemdar571.duckdns.org:5900,asyncrat
antony2ok.duckdns.org:8894,nanocore
chonglee575.duckdns.org:46422,asyncrat
chonglee575.duckdns.org:6578,asyncrat
dontreachme3.ddns.net:3601,asyncrat
eholeyear.bid,icedid
esaquell.website,icedid
extrimefigim.top,icedid
fimlubindu.top,icedid
frankent2021.ddns.net:2455,asyncrat
fsdgsgads.duckdns.org:8057,asyncrat
ghdyuienah123.freedynamicdns.org:2006,remcos
gsyagvxnzmkoplbhduisbagtevcnxmzlopljdgye.ydns.eu:2177,remcos
hanku.giize.com:6051,nanocore
hjduiebcvzcalpmjdbcnwqadhsiybcnzxswedgap.ydns.eu:2024,remcos
http://173.208.204.37/k.php/GfDfiN96YB4pF,lokibot
http://195.133.40.62/index.php,azorult
http://203.159.80.31/PL341/index.php,azorult
http://cdn1.agency.thomsonreuters.com/access,cobaltstrike
http://d23gzt9pw4yryc.cloudfront.net:443/adminer/query_result.php,cobaltstrike
http://efsec.net/a2z/panelnew/gate.php,pony
http://eln.meizu.com:80/api/v3/check,cobaltstrike
http://ezman123123.000webhostapp.com/index.php,azorult
http://fesfesfsefes.000webhostapp.com/index.php,azorult
http://goog1e.ezua.com:443/books/,cobaltstrike
http://hncbeyghfsbvcuabgsbncvzgaioiuyegdbhabbbw.ydns.eu/Ose_2021%20remcos_UsrkxBzfYJ78.bin,guloader
http://holohololo.000webhostapp.com/index.php,azorult
http://jumpfestas.com/excited.php,hancitor
http://kayak.it:443/v1/profile,cobaltstrike
http://kristen.sbddev.com/ds/2803.gif,icedid
http://lansiagerri.ru/8/forum.php,hancitor
http://manvim.co/fc5/fre.php,lokibot
http://minairinours.sytes.net/UJQNIOjnf/Panel/five/fre.php,lokibot
http://msslrsa-motherson.com/chief/har/fre.php,lokibot
http://msslrsa-motherson.com/coco/coco4/fre.php,lokibot
http://msslrsa-motherson.com/dumbo/dumbo1/fre.php,lokibot
http://msslrsa-motherson.com/dumbo/dumbo2/fre.php,lokibot
http://nalbukers.com/8/forum.php,hancitor
http://onioncruel.com/sme/epox/index.php,azorult
http://restanumb.ru/8/forum.php,hancitor
http://tor-browser.ru.uptodown.com/gate.php,pony
http://tor-browser.ru.uptodown.com/gatje.php,pony
http://vietphatjsc.xyz/dumbo/dumbo3/fre.php,lokibot
http://vietphatjsc.xyz/dumbo/dumbo4/fre.php,lokibot
http://vietphatjsc.xyz/tom/tom1/fre.php,lokibot
http://wingermany.duckdns.org/index.php,azorult
http://www.11n.us/j2/index.php,azorult
http://www.bengalcement.com.bd/AxPu/index.php,azorult
http://www.century21realtysolutions.com/dko/,formbook
http://www.egm.group/a9ab/,formbook
http://www.landingpagehealthandlife.com/grnp/,formbook
http://www.madebymelbelle.com/m2i/,formbook
http://www20833.com/upload/,smokeloader
https://campus.ceacet.com/suburb.php,hancitor
https://docs.google.com/document/d/e/2PACX-1vQ-fmfX0m94o7r9ah-xgr6T6c5YWZCUksEKbFgmF5fEm7aS7jpGYjypf-Vt991cQ-NrJTAW0I_icWg0/pub,hancitor
https://docs.google.com/document/d/e/2PACX-1vQ2hsdExgwWzVj0SUhah4MzwmTQ51GPt9ZhvgjlX0Bc44zWKZOVoT-mQ6eD-y1HcB_7cNJZeXbqRVDY/pub,hancitor
https://docs.google.com/document/d/e/2PACX-1vQ8313weL3Zbh9Hng11YPXV-TJvd-V2dNtHb0FH4pR9sGtjJ0xak05qSKv0dcQvF_D7WfO4q8NGmCG4/pub,hancitor
https://docs.google.com/document/d/e/2PACX-1vQgZJrcUTDvMWPfpvs2ZRY7MN34vOLN4I0dfDY13CN1bDUANt9zYDqXZu3qiOL4bRDdwkLUgyd1tdeb/pub,hancitor
https://docs.google.com/document/d/e/2PACX-1vQjrcoSP4ZgUXbb2AQg6DawEQHt-ceTsC_eENYPqs5Cj8J7YH5RKvUUUcRl4IrfiexchX_HtSQYtNQe/pub,hancitor
https://docs.google.com/document/d/e/2PACX-1vQsPT3x7M4WNjkvmTsu2bt5ZfP4FrldyuFNOzyAoEs01XqWIh9H26x8CKdTgsChcJ790u9v9uQ04MF8/pub,hancitor
